LOOKBACK,YEAR,MACRO_SECTOR,RANK_METRIC,HISTORY_START,HISTORY_END,RANK
2,2020,TECHNOLOGY,0.24253565923401976,2018,2019,6
2,2020,HEALTHCARE,0.12427016059056029,2018,2019,7
2,2020,COMMUNICATION,0.10034646303853068,2018,2019,8
2,2021,TECHNOLOGY,0.6381784068197327,2019,2020,1
2,2021,INDUSTRIALS,0.4468853282481504,2019,2020,2
2,2021,MATERIALS,0.33383238656713266,2019,2020,3
2,2021,ENERGY,0.3022213379156924,2019,2020,4
2,2021,CONSUMER,0.29653483833428274,2019,2020,5
2,2021,UTILITIES,0.2649026235137302,2019,2020,6
2,2021,HEALTHCARE,0.2276882981582511,2019,2020,7
2,2021,FINANCIALS,0.15968371247163704,2019,2020,8
2,2021,COMMUNICATION,0.05222444343477939,2019,2020,9
2,2022,MATERIALS,0.39737193393224124,2020,2021,1
2,2022,ENERGY,0.04606644573252616,2020,2021,2
2,2022,INDUSTRIALS,0.02592556118879985,2020,2021,3
2,2022,UTILITIES,0.019314597673511624,2020,2021,4
2,2022,TECHNOLOGY,-0.004042472182427814,2020,2021,5
2,2022,CONSUMER,-0.025747678346017544,2020,2021,6
2,2022,HEALTHCARE,-0.1143987906492947,2020,2021,7
2,2022,FINANCIALS,-0.16449837068537232,2020,2021,8
2,2022,COMMUNICATION,-0.23591423255090715,2020,2021,9
2,2023,MATERIALS,0.09667508889723764,2021,2022,1
2,2023,ENERGY,0.029110602340103542,2021,2022,2
2,2023,UTILITIES,-0.059237172674212024,2021,2022,3
2,2023,FINANCIALS,-0.11198477003104457,2021,2022,4
2,2023,CONSUMER,-0.15505295656190188,2021,2022,5
2,2023,INDUSTRIALS,-0.18919788038808938,2021,2022,6
2,2023,HEALTHCARE,-0.2839026841675605,2021,2022,7
2,2023,TECHNOLOGY,-0.29511667030499,2021,2022,8
2,2023,COMMUNICATION,-0.3050162383886076,2021,2022,9
2,2024,ENERGY,0.23970999365090773,2022,2023,1
2,2024,FINANCIALS,0.13768123726002313,2022,2023,2
2,2024,INDUSTRIALS,0.10467075849573582,2022,2023,3
2,2024,UTILITIES,0.05440493074530295,2022,2023,4
2,2024,TECHNOLOGY,0.03486412592611754,2022,2023,5
2,2024,COMMUNICATION,0.0010199891289055518,2022,2023,6
2,2024,CONSUMER,-0.015735780710846692,2022,2023,7
2,2024,MATERIALS,-0.06636189154979999,2022,2023,8
2,2024,HEALTHCARE,-0.12418593888605134,2022,2023,9
2,2025,TECHNOLOGY,0.48555523889638974,2023,2024,1
2,2025,COMMUNICATION,0.2781048611704737,2023,2024,2
2,2025,INDUSTRIALS,0.1717243212696511,2023,2024,3
2,2025,ENERGY,0.14459188234966036,2023,2024,4
2,2025,FINANCIALS,0.13884222001599,2023,2024,5
2,2025,HEALTHCARE,0.09940867791577435,2023,2024,6
2,2025,UTILITIES,0.07663573664167256,2023,2024,7
2,2025,CONSUMER,-0.006797489870472462,2023,2024,8
2,2025,MATERIALS,-0.04718138022176033,2023,2024,9
3,2021,INDUSTRIALS,0.475814302358774,2018,2020,1
3,2021,MATERIALS,0.36217609966116715,2018,2020,2
3,2021,TECHNOLOGY,0.2959133476438889,2018,2020,3
3,2021,UTILITIES,0.26774762255858087,2018,2020,4
3,2021,CONSUMER,0.18294652007363021,2018,2020,5
3,2021,FINANCIALS,0.14764091769415577,2018,2020,6
3,2021,HEALTHCARE,0.10209814085244306,2018,2020,7
3,2021,COMMUNICATION,-4.44687477257899e-05,2018,2020,8
3,2022,MATERIALS,0.37003012481762587,2019,2021,1
3,2022,TECHNOLOGY,0.23603647906522984,2019,2021,2
3,2022,INDUSTRIALS,0.23228214566110017,2019,2021,3
3,2022,ENERGY,0.17697914951741334,2019,2021,4
3,2022,CONSUMER,0.14527777958821342,2019,2021,5
3,2022,UTILITIES,0.13884425110262866,2019,2021,6
3,2022,HEALTHCARE,0.037315970899306716,2019,2021,7
3,2022,FINANCIALS,0.02734968433378082,2019,2021,8
3,2022,COMMUNICATION,-0.07840676418003234,2019,2021,9
3,2023,MATERIALS,0.17561211234638407,2020,2022,1
3,2023,ENERGY,0.06422956162075288,2020,2022,2
3,2023,UTILITIES,-0.0013055032610170825,2020,2022,3
3,2023,INDUSTRIALS,-0.08180891936653278,2020,2022,4
3,2023,CONSUMER,-0.08810272221673465,2020,2022,5
3,2023,TECHNOLOGY,-0.1119279224794194,2020,2022,6
3,2023,FINANCIALS,-0.11945161775952551,2020,2022,7
3,2023,HEALTHCARE,-0.18412959909477,2020,2022,8
3,2023,COMMUNICATION,-0.26388755961753074,2020,2022,9
3,2024,ENERGY,0.13900500516791303,2021,2023,1
3,2024,MATERIALS,0.08006109999158295,2021,2023,2
3,2024,INDUSTRIALS,0.029380616830283035,2021,2023,3
3,2024,FINANCIALS,0.014313760313634738,2021,2023,4
3,2024,UTILITIES,0.008705890637810798,2021,2023,5
3,2024,CONSUMER,-0.046920402991765586,2021,2023,6
3,2024,TECHNOLOGY,-0.08999025102926395,2021,2023,7
3,2024,COMMUNICATION,-0.10855301416308294,2021,2023,8
3,2024,HEALTHCARE,-0.1718158220584315,2021,2023,9
3,2025,TECHNOLOGY,0.15934725965801944,2022,2024,1
3,2025,ENERGY,0.1300463189405756,2022,2024,2
3,2025,FINANCIALS,0.08250703874449195,2022,2024,3
3,2025,COMMUNICATION,0.03727459611691675,2022,2024,4
3,2025,UTILITIES,0.03579311916417094,2022,2024,5
3,2025,INDUSTRIALS,0.003242986661581515,2022,2024,6
3,2025,HEALTHCARE,-0.057600274992781864,2022,2024,7
3,2025,CONSUMER,-0.07631584877193465,2022,2024,8
3,2025,MATERIALS,-0.08925625308133411,2022,2024,9
